	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
303	1970-01-01 00:00:00.000000303	0.08236146061573922	0.2281722833022354	0.011439091768558153	2.67243423261991e-07	2.0293645848789698e-10
304	1970-01-01 00:00:00.000000304	0.08264969195539494	0.228789192130238	0.011479123892539057	2.6720011404584614e-07	2.0272978026891555e-10
305	1970-01-01 00:00:00.000000305	0.08293806619054556	0.22940920851846458	0.011519175871877048	2.6661599593852433e-07	2.0252105604411362e-10
306	1970-01-01 00:00:00.000000306	0.0832265804022529	0.2300239071184593	0.011559247293604651	2.671900376537064e-07	2.023056536073717e-10
307	1970-01-01 00:00:00.000000307	0.0835152267915156	0.2306410491551849	0.011599337060551124	2.6583249417186366e-07	2.021023655775429e-10
308	1970-01-01 00:00:00.000000308	0.08380400762064973	0.23125502716518342	0.011639445448230952	2.6771428407568195e-07	2.0191009340815565e-10
309	1970-01-01 00:00:00.000000309	0.08409293735913077	0.2318673639641916	0.01167957461646753	2.6597849327509654e-07	2.0166912786157052e-10
310	1970-01-01 00:00:00.000000310	0.08438202392716924	0.2324800928790116	0.011719725535064654	2.6481128518820014e-07	2.0150596380782923e-10
311	1970-01-01 00:00:00.000000311	0.08467120511411423	0.2330922811522841	0.011759889592423533	2.650734558070661e-07	2.0126448397125262e-10
312	1970-01-01 00:00:00.000000312	0.08496046907545544	0.23370366659015923	0.01180006516712093	2.6512172691220773e-07	2.0103159866548307e-10
313	1970-01-01 00:00:00.000000313	0.08524988255322956	0.23431391818572195	0.01184026146394704	2.652763253755591e-07	2.007860953968349e-10
314	1970-01-01 00:00:00.000000314	0.08553945771175547	0.23492353983716613	0.011880480227110413	2.653470055602771e-07	2.0057088250231896e-10
315	1970-01-01 00:00:00.000000315	0.08582916892955138	0.23553054507714785	0.011920717899369276	2.634518022563518e-07	2.0032901294547888e-10
316	1970-01-01 00:00:00.000000316	0.08611901902890873	0.23613784113714753	0.011960974855456387	2.654976943277744e-07	2.0011364678865867e-10
317	1970-01-01 00:00:00.000000317	0.08640851038694075	0.23672762671598263	0.012001181988050358	2.8219257482178674e-07	1.9849822519957517e-10
318	1970-01-01 00:00:00.000000318	0.08669813902502588	0.23733823087358538	0.012041408179643711	2.8996726578094783e-07	1.9790432737096955e-10
319	1970-01-01 00:00:00.000000319	0.08698838525392857	0.23794470357500003	0.012081720166071428	2.906937053890412e-07	1.9760840474003922e-10
320	1970-01-01 00:00:00.000000320	0.08727852910218822	0.23855162183566936	0.012122017923698512	2.936574588089888e-07	1.971735724731184e-10
321	1970-01-01 00:00:00.000000321	0.08756914736667971	0.23914420602298198	0.012162381564267672	2.962828761845535e-07	1.9723906998860492e-10
